f667757c-7bfe-496b-aac9-b472d17c1b62,1/1/01,Mexico,Spanish
738e9251-d6b8-44e6-af07-3804a00335ed,1/1/95,Myanmar,English
c8be43cf-c3d5-4e69-8ce2-bd53c14d1abe,1/1/05,China,Chinese
dbe1db5f-ff49-42f4-bbd2-eaa5d8ab74d9,1/1/17,Ethiopia,English
5d9a401e-4bf1-43e7-b294-53aaca20d95c,1/1/17,Nigeria,Afrikaans
f2aaa141-144c-4f76-8608-cda12b034fdd,1/1/74,Sri Lanka,Sinhala
fbeda47b-2011-47a2-b351-29f77d200fb7,1/1/17,Nigeria,English
e5c4bb3b-552b-4281-8cb4-652d9c3831e3,1/1/99,Sri Lanka,English
995d39cc-e9c5-491a-a206-6d4cae640bd5,1/1/99,United Kingdom,English (United Kingdom)
c2f9fb8e-8636-4721-9ea8-a2ed837b808c,1/1/94,United States,English (United States)
5ab8d20b-5d12-4387-a7f9-c4c2552c9440,1/1/06,Philippines,English (United States)
7413d027-6429-40be-bae4-a739d2e87338,1/1/17,Islamic Republic of Pakistan,English (Australia)
a6264206-fdce-4082-a7ba-a8182456fc64,1/1/09,Sri Lanka,English (United States)
4806f025-123c-4d82-841e-89127ba984da,1/1/17,United States,English (United States)
e6dc79d1-03f9-4acc-82b7-0ec626f54727,1/1/86,Vietnam,Vietnamese
eb87f3f7-ce2d-4df8-8c61-174fca146e68,1/1/17,Lasanod,English
4a768acd-d8c2-4156-afd1-ec99cf10e5df,1/1/69,United States,English
7d68e80b-4601-4d9c-b994-27e2ec32688e,1/1/00,jamaica,Afrikaans
95c0f896-6bbb-4570-a6d1-ae6a93ce6735,1/1/00,jamaica,English
3d254d90-b16e-492b-b6ba-dd77b82146fa,1/1/98,uganda,English
5e1093f0-1dc1-42ea-a11a-0bd6ed08ab86,1/1/17,United States,English (United States)
d0262705-ec17-49c6-b226-f155aca94784,1/1/17,United States,Belarusian
d1a695ff-08dc-4201-83ab-cebfe3e76161,1/1/01,United States,Albanian
32aae1ca-da82-4e9c-be99-430065be0a83,1/1/17,India,English
e8111762-ee34-4c83-8d70-3e7234648ec9,1/1/01,United States,Afrikaans
0a11eb1d-3842-461b-9657-3694f20e0773,1/1/17,United States,Afrikaans
7811916a-2814-4d95-8e78-7ffd17c0f730,1/1/85,India,Afrikaans
